name,shortName,stationId,totalDocks,hasKiosk,hasKeyDispenser,rentalMethods,lon,lat,deploymentYear,initialCount
One Memorial Drive,M32053,a825b55d-3ab3-481f-9c50-d3a7313e6843,19,True,False,"['CREDITCARD', 'KEY']",-71.0804355052096,42.361619320766856,2017,15
Ames St at Broadway,M32059,dd05a440-f881-410c-a071-864da11c634a,18,True,False,"['CREDITCARD', 'KEY']",-71.0875672,42.3636929,2018,15
84 Cambridgepark Dr,M32058,bd3d4824-7203-4edc-a314-cea2b413e886,16,True,False,"['CREDITCARD', 'KEY']",-71.143941,42.3936,2018,15
699 Mt Auburn St,M32054,93381e13-cd04-4e10-ac81-9f5926aa01d5,19,True,False,"['CREDITCARD', 'KEY']",-71.14871613699506,42.37500235137831,2018,17
Mass Ave at Hadley/Walden,M32056,1e3beeb4-f8e1-452c-93e5-48df78d4b313,18,True,False,"['CREDITCARD', 'KEY']",-71.12260755160605,42.39120971915856,2018,15
Harvard St at Greene-Rose Heritage Park,M32055,70f20fcb-8e63-4015-9007-b97c525ab0a9,19,True,False,"['CREDITCARD', 'KEY']",-71.09522221614498,42.36599432867437,2018,18
Vassal Lane at Tobin/VLUS,M32057,02a4416f-80b4-4472-accd-5db482ed5b6d,19,True,False,"['CREDITCARD', 'KEY']",-71.13775670528412,42.38536765218425,2018,15
700 Huron Ave,M32060,9e9be067-c6bb-41de-9491-eda69d24d6de,19,True,False,"['CREDITCARD', 'KEY']",-71.15412890911102,42.380788172914286,2018,15
Mass Ave at Albany St,M32061,f6df6c1a-064f-428a-951c-2069a081b9df,16,True,False,"['CREDITCARD', 'KEY']",-71.09670273977825,42.36135837662249,2019,15
Inman Square at Springfield St.,M32062,2104f242-2dde-4ec0-8197-4454b1021ac1,25,True,False,"['CREDITCARD', 'KEY']",-71.10026478767395,42.37426713524931,2019,24
Sennott Park Broadway at Norfolk Street,M32063,5bc7cba9-f0b0-442d-932c-e8c7927d87ce,19,True,False,"['CREDITCARD', 'KEY']",-71.09930185605663,42.36860524248197,2019,16
75 Binney St,M32064,133d159e-a202-4310-910f-eca392fe181e,19,True,False,"['CREDITCARD', 'KEY']",-71.0801375997653,42.36550728505653,2019,15
Kennedy-Longfellow School 158 Spring St,M32065,9ca92778-9101-48df-90ea-08b784e26a1a,19,True,False,"['CREDITCARD', 'KEY']",-71.08579014980933,42.36955297756508,2019,16
Discovery Park - 30 Acorn Park Drive,M32066,8347c34d-68df-404b-ac58-7a387cc3ce4b,23,True,False,"['CREDITCARD', 'KEY']",-71.14797130814623,42.39790817368333,2019,20
Berkshire Street at Cambridge Street,M32067,9fef6df2-7f8f-43fc-a85b-7dd5453860f9,19,True,False,"['CREDITCARD', 'KEY']",-71.08995433905875,42.37207657915397,2019,15
Graham and Parks School – Linnaean St at Walker St,M32068,f606593b-3d07-40f2-bc6d-a0eb96588e44,19,True,False,"['CREDITCARD', 'KEY']",-71.12449831038248,42.38294430172271,2020,17
Smith Pl at Wilson Rd,M32069,38706d8c-8d4b-49f7-b6ed-7688449db261,19,True,False,"['CREDITCARD', 'KEY']",-71.15058331757609,42.39239749145834,2020,16
MIT Carleton St at Amherst St,M32070,f1cafe36-f800-41f6-b74d-73953cb6394c,27,True,False,"['CREDITCARD', 'KEY']",-71.08669817447662,42.36054174140606,2020,24
MIT Hayward St at Amherst St,M32071,533620e8-00ff-494a-b288-bd67602bc98e,27,True,False,"['CREDITCARD', 'KEY']",-71.08551858007559,42.36085937353302,2020,23
Galileo Galilei Way at Main Street,M32072,13918b3b-9ac5-4968-a74d-e40dd3bc952e,19,True,False,"['CREDITCARD', 'KEY']",-71.08974037706501,42.363003781560096,2020,16
955 Mass Ave,M32073,00802fe6-4268-4dc8-8f55-0dbbc1665ce6,19,True,False,"['CREDITCARD', 'KEY']",-71.10998779535294,42.36895180540729,2021,17
Concord Ave at Spinelli Place,M32074,940638c5-7cd0-4a11-899e-86af3868d400,19,True,False,"['CREDITCARD', 'KEY']",-71.1538877,42.390719,2021,19
Danehy Park at New Street,M32075,a9d13461-7f0f-47b0-9a97-8ec9e9792865,19,True,False,"['CREDITCARD', 'KEY']",-71.139019,42.389456,2021,18
Old Morse Park at Putnam Ave,M32076,dede6d5f-7d62-496e-a8ca-d5a64afe39c1,15,True,False,"['CREDITCARD', 'KEY']",-71.1084133386612,42.35766247889882,2021,12
Cambridge Crossing at North First Street,M32077,fe90d430-d33f-48b2-a5cd-bc161b220939,23,True,False,"['CREDITCARD', 'KEY']",-71.076198,42.371141,2021,22
Galileo Galilei Way at Fulkerson St/Binney St,M32078,dcd76e42-eebc-4432-9726-cdb3372b0b07,19,True,False,"['CREDITCARD', 'KEY']",-71.0885418,42.3664204,2022,16
Raymond Park at Walden St,M32079,ff938129-8179-455c-9ac9-9fcb9fc0b6d5,19,True,False,"['CREDITCARD', 'KEY']",-71.12761001482795,42.38736953747185,2022,15
Main Street/Albany Street/Technology Square,M32080,0208190e-851c-417d-8bc7-1b218db97fbf,23,True,False,"['CREDITCARD', 'KEY']",-71.0915669,42.3629016,2022,20
Gore Street at Lambert Street,M32081,f9524971-e9f9-4572-aebc-580e48de042f,19,True,False,"['CREDITCARD', 'KEY']",-71.08634233665725,42.373079797934935,2022,19
Broad Canal Way at Third Street,M32082,2d32e355-faee-407b-9bb7-45d80ffb059a,19,True,False,"['CREDITCARD', 'KEY']",-71.08287078916874,42.36304549626695,2022,16
John Ahern Field at Kennedy-Longfellow School,M32083,93911aa1-b5e4-48aa-a2b6-38fbcf613006,19,True,False,"['CREDITCARD', 'KEY']",-71.08630959910442,42.36903566594827,2022,15
87-101 Cambridgepark Drive,M32084,abefafdc-c772-4671-86fe-fc15a42adebb,23,True,False,"['CREDITCARD', 'KEY']",-71.14421904097979,42.39522187031066,2023,21
Mass Ave/Lafayette Square,M32085,986068c4-d11a-465a-b8d0-bd0960c57f51,15,True,False,"['CREDITCARD', 'KEY']",-71.10044184048091,42.36356498989399,2023,14
